id,titulo,autor,anio,protegida_en,motivos
496,El Escándalo,Pedro Antonio de Alarcón,1875,,falta año de muerte del autor
495,El Final de Norma,Pedro Antonio de Alarcón,1855,,falta año de muerte del autor
491,Historietas Nacionales,Pedro Antonio de Alarcón,1881,,falta año de muerte del autor
509,Mañanas de Abril y Mayo,Pedro Antonio de Alarcón,s. f.,,falta año de muerte del autor
506,Moros y Cristianos,Pedro Antonio de Alarcón,1881,,falta año de muerte del autor
508,La Mujer Alta,Pedro Antonio de Alarcón,s. f.,,falta año de muerte del autor
492,Narraciones Inverosímiles,Pedro Antonio de Alarcón,1882,,falta año de muerte del autor
501,El Niño de la Bola,Pedro Antonio de Alarcón,1880,,falta año de muerte del autor
494,Novelas Cortas,Pedro Antonio de Alarcón,1881,,falta año de muerte del autor
507,Los Ojos Negros,Pedro Antonio de Alarcón,s. f.,,falta año de muerte del autor
498,La Pródiga,Pedro Antonio de Alarcón,1882,,falta año de muerte del autor
502,Los Seis Velos,Pedro Antonio de Alarcón,s. f.,,falta año de muerte del autor
510,"Soy, Tengo y Quiero",Pedro Antonio de Alarcón,s. f.,,falta año de muerte del autor
499,Viajes por España,Pedro Antonio de Alarcón,1883,,falta año de muerte del autor
511,El Ángel de la Sombra,Leopoldo Lugones,1926,MX(hasta 2038),año de muerte sin verificar
515,Cuentos,Leopoldo Lugones,s. f.,MX(hasta 2038),año de muerte sin verificar
518,Cuentos Dispersos,Leopoldo Lugones,s. f.,MX(hasta 2038),año de muerte sin verificar
517,Las Fuerzas Extrañas,Leopoldo Lugones,1906,MX(hasta 2038),año de muerte sin verificar
512,La Guerra Gaucha,Leopoldo Lugones,1905,MX(hasta 2038),año de muerte sin verificar
514,El Imperio Jesuítico,Leopoldo Lugones,1904,MX(hasta 2038),año de muerte sin verificar
513,Los Ojos de la Reina,Leopoldo Lugones,1927,MX(hasta 2038),año de muerte sin verificar
516,El Puñal,Leopoldo Lugones,s. f.,MX(hasta 2038),año de muerte sin verificar
524,Amnesia,Amado Nervo,1918,,año de muerte sin verificar
519,Crónicas,Amado Nervo,1922,,año de muerte sin verificar
523,El Diablo Desinteresado,Amado Nervo,1916,,año de muerte sin verificar
521,El Diamante de la Inquietud,Amado Nervo,1917,,año de muerte sin verificar
520,Una Mentira,Amado Nervo,1917,,año de muerte sin verificar
522,Un Sueño,Amado Nervo,1917,,año de muerte sin verificar
525,Cuentos Color de Humo,Manuel Gutiérrez Nájera,1890,,falta año de muerte del autor
528,Cuentos dispersos,Manuel Gutiérrez Nájera,s. f.,,falta año de muerte del autor
527,Juan el Organista,Manuel Gutiérrez Nájera,s. f.,,falta año de muerte del autor
526,Por Donde se Sube al Cielo,Manuel Gutiérrez Nájera,1882,,falta año de muerte del autor
529,Aura o las Violetas,José María Vargas Vila,1887,,falta año de muerte del autor
587,El 19 de Marzo y el 2 de Mayo,Benito Pérez Galdós,1873,,falta año de muerte del autor
586,El 1 de marzo y el 2 de mayo,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
594,7 de julio,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
537,El Abuelo,Benito Pérez Galdós,1897,,falta año de muerte del autor
604,Aita Tettauen,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
595,Amadeo I,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
543,El Amigo Manso,Benito Pérez Galdós,1882,,falta año de muerte del autor
530,Ángel Guerra,Benito Pérez Galdós,1891,,falta año de muerte del autor
566,Los Apostólicos,Benito Pérez Galdós,1879,,falta año de muerte del autor
621,El Artículo de Fondo,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
532,El Audaz,Benito Pérez Galdós,1871,,falta año de muerte del autor
558,Los Ayacuchos,Benito Pérez Galdós,1900,,falta año de muerte del autor
564,Bailén,Benito Pérez Galdós,1873,,falta año de muerte del autor
549,La Batalla de los Arapiles,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
562,Bodas Reales,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
544,La de Bringas,Benito Pérez Galdós,1884,,falta año de muerte del autor
601,El Caballero Encantado,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
563,Cádiz,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
580,La Campaña del Maestrazgo,Benito Pérez Galdós,1899,,falta año de muerte del autor
596,Cánovas,Benito Pérez Galdós,1912,,falta año de muerte del autor
585,Carlos VI en la Rápita,Benito Pérez Galdós,1905,,falta año de muerte del autor
597,De Cartago a Sagunto,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
622,La Casa de Shakespeare,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
613,Celín,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
561,Los Cien Mil Hijos de San Luis,Benito Pérez Galdós,1877,,falta año de muerte del autor
600,La Corte de Carlos IV,Benito Pérez Galdós,1873,,falta año de muerte del autor
533,La Desheredada,Benito Pérez Galdós,1881,,falta año de muerte del autor
623,Cuentos y prosas dispersos,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
540,El Doctor Centeno,Benito Pérez Galdós,1883,,falta año de muerte del autor
567,Doña Perfecta,Benito Pérez Galdós,1876,,falta año de muerte del autor
616,¿Dónde Está mi Cabeza?,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
569,Los Duendes de la Camarilla,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
538,Electra,Benito Pérez Galdós,1901,,falta año de muerte del autor
539,Episodios Nacionales para Niños,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
598,El Equipaje del Rey,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
574,España Sin Rey,Benito Pérez Galdós,1907,,falta año de muerte del autor
579,España Trágica,Benito Pérez Galdós,1909,,falta año de muerte del autor
553,La Estafeta Romántica,Benito Pérez Galdós,1899,,falta año de muerte del autor
577,Un Faccioso Más y Algunos Frailes Menos,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
541,La Familia de León Roch,Benito Pérez Galdós,1878,,falta año de muerte del autor
547,La Fontana de Oro,Benito Pérez Galdós,1870,,falta año de muerte del autor
602,Gerona,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
536,Gloria,Benito Pérez Galdós,1877,,falta año de muerte del autor
599,El Grande Oriente,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
545,Halma,Benito Pérez Galdós,1895,,falta año de muerte del autor
554,La Incógnita,Benito Pérez Galdós,1889,,falta año de muerte del autor
619,Una Industria que Vive de la Muerte,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
568,Juan Martín el Empecinado,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
617,Junio,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
535,La Loca de la Casa,Benito Pérez Galdós,1893,,falta año de muerte del autor
531,Lo Prohibido,Benito Pérez Galdós,1885,,falta año de muerte del autor
555,Luchana,Benito Pérez Galdós,1899,,falta año de muerte del autor
605,Marianela,Benito Pérez Galdós,1878,,falta año de muerte del autor
603,Memorias de un Cortesano de 1815,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
570,Mendizábal,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
548,Miau,Benito Pérez Galdós,1888,,falta año de muerte del autor
551,Misericordia,Benito Pérez Galdós,1897,,falta año de muerte del autor
588,Montes de Oca,Benito Pérez Galdós,1900,,falta año de muerte del autor
609,La Mula y el Buey,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
592,Napoleón en Chamartín,Benito Pérez Galdós,1874,,falta año de muerte del autor
575,Narváez,Benito Pérez Galdós,1902,,falta año de muerte del autor
556,Nazarín,Benito Pérez Galdós,1895,,falta año de muerte del autor
614,La Novela en el Tranvía,Benito Pérez Galdós,1871,,falta año de muerte del autor
576,O'Donnell,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
565,De Oñate a la Granja,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
618,La Pluma en el Viento,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
590,La Primera República,Benito Pérez Galdós,1911,,falta año de muerte del autor
571,Prim,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
608,La Princesa y el Granuja,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
534,La Razón de la Sinrazón,Benito Pérez Galdós,1915,,falta año de muerte del autor
542,Realidad,Benito Pérez Galdós,1889,,falta año de muerte del autor
581,La Revolución de Julio,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
546,La de San Quintín,Benito Pérez Galdós,1894,,falta año de muerte del autor
591,La Segunda Casaca,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
607,La Sombra,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
589,El Terror de 1824,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
610,Theros,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
583,Las Tormentas del 48,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
552,Tormento,Benito Pérez Galdós,1884,,falta año de muerte del autor
572,Torquemada en la Cruz,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
611,Torquemada en la Hoguera,Benito Pérez Galdós,1889,,falta año de muerte del autor
550,Torquemada en el Purgatorio,Benito Pérez Galdós,1894,,falta año de muerte del autor
560,Torquemada y San Pedro,Benito Pérez Galdós,1895,,falta año de muerte del autor
606,Trafalgar,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
620,Un Tribunal Literario,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
593,Tristana,Benito Pérez Galdós,1892,,falta año de muerte del autor
557,La de los Tristes Destinos,Benito Pérez Galdós,1907,,falta año de muerte del autor
615,Tropiquillos,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
559,Vergara,Benito Pérez Galdós,1899,,falta año de muerte del autor
578,Un Voluntario Realista,Benito Pérez Galdós,1878,,falta año de muerte del autor
612,De Vuelta de Italia,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
582,La Vuelta al Mundo en la Numancia,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
584,Zaragoza,Benito Pérez Galdós,s. f.,,falta año de muerte del autor
573,Zumalacárregui,Benito Pérez Galdós,1898,,falta año de muerte del autor
635,Un Boceto del Natural,Gustavo Adolfo Bécquer,s. f.,,falta año de muerte del autor
627,Cartas desde mi Celda,Gustavo Adolfo Bécquer,1864,,falta año de muerte del autor
629,Cartas Literarias a una Mujer,Gustavo Adolfo Bécquer,1861,,falta año de muerte del autor
624,El Caudillo de las Manos Rojas,Gustavo Adolfo Bécquer,1858,,falta año de muerte del autor
626,La Creación,Gustavo Adolfo Bécquer,1861,,falta año de muerte del autor
625,Creed en Dios,Gustavo Adolfo Bécquer,1862,,falta año de muerte del autor
636,Cuentos y prosas dispersos,Gustavo Adolfo Bécquer,s. f.,,falta año de muerte del autor
632,¡Es Raro!,Gustavo Adolfo Bécquer,s. f.,,falta año de muerte del autor
630,El Gnomo,Gustavo Adolfo Bécquer,1863,,falta año de muerte del autor
634,Maese Pérez el Organista,Gustavo Adolfo Bécquer,1861,,falta año de muerte del autor
631,El Monte de las Ánimas,Gustavo Adolfo Bécquer,1861,,falta año de muerte del autor
628,La Promesa,Gustavo Adolfo Bécquer,1863,,falta año de muerte del autor
633,La Rosa de Pasión,Gustavo Adolfo Bécquer,1864,,falta año de muerte del autor
638,El Caballero de las Botas Azules,Rosalía de Castro,1867,,falta año de muerte del autor
642,Cuentos y prosas dispersos,Rosalía de Castro,s. f.,,falta año de muerte del autor
637,Flavio,Rosalía de Castro,1861,,falta año de muerte del autor
640,La Flor,Rosalía de Castro,1857,,falta año de muerte del autor
639,A Mi Madre,Rosalía de Castro,1863,,falta año de muerte del autor
641,El Primer Loco,Rosalía de Castro,1881,,falta año de muerte del autor
675,Bucólica,Emilia Pardo Bazán,s. f.,,año de muerte sin verificar
679,En las Cavernas,Emilia Pardo Bazán,s. f.,,año de muerte sin verificar
653,El Cisne de Vilamorta,Emilia Pardo Bazán,1885,,año de muerte sin verificar
681,La Comedia Piadosa,Emilia Pardo Bazán,s. f.,,año de muerte sin verificar
661,Una Cristiana,Emilia Pardo Bazán,1890,,año de muerte sin verificar
647,Cuentos de Amor,Emilia Pardo Bazán,1898,,año de muerte sin verificar
673,Cuentos Antiguos,Emilia Pardo Bazán,1900,,año de muerte sin verificar
650,Cuentos Dramáticos,Emilia Pardo Bazán,1909,,año de muerte sin verificar
674,Cuentos de Marineda,Emilia Pardo Bazán,1892,,año de muerte sin verificar
678,Cuentos de Navidad y Año Nuevo,Emilia Pardo Bazán,1914,,año de muerte sin verificar
665,Cuentos de Navidad y Reyes,Emilia Pardo Bazán,1902,,año de muerte sin verificar
651,Cuentos Nuevos,Emilia Pardo Bazán,1894,,año de muerte sin verificar
672,Cuentos de la Patria,Emilia Pardo Bazán,1902,,año de muerte sin verificar
649,Cuentos Sacroprofanos,Emilia Pardo Bazán,1899,,año de muerte sin verificar
664,Cuentos del Terruño,Emilia Pardo Bazán,1907,,año de muerte sin verificar
648,Cuentos de la Tierra,Emilia Pardo Bazán,1922,,año de muerte sin verificar
656,Cuentos Trágicos,Emilia Pardo Bazán,1912,,año de muerte sin verificar
658,La Cuestión Palpitante,Emilia Pardo Bazán,1883,,año de muerte sin verificar
655,La Dama Joven,Emilia Pardo Bazán,1885,,año de muerte sin verificar
662,Doña Milagros,Emilia Pardo Bazán,1894,,año de muerte sin verificar
652,Dulce Sueño,Emilia Pardo Bazán,1911,,año de muerte sin verificar
680,Fantasía,Emilia Pardo Bazán,s. f.,,año de muerte sin verificar
676,La Gota de Sangre,Emilia Pardo Bazán,1911,,año de muerte sin verificar
660,Insolación,Emilia Pardo Bazán,1889,,año de muerte sin verificar
646,Insolación y Morriña,Emilia Pardo Bazán,1889,,año de muerte sin verificar
657,Memorias de un Solterón: Adán y Eva,Emilia Pardo Bazán,1896,,año de muerte sin verificar
645,Misterio,Emilia Pardo Bazán,1903,,año de muerte sin verificar
659,Morriña,Emilia Pardo Bazán,1889,,año de muerte sin verificar
670,El Niño de Guzmán,Emilia Pardo Bazán,1891,,año de muerte sin verificar
671,Pascual López,Emilia Pardo Bazán,1879,,año de muerte sin verificar
667,La Piedra Angular,Emilia Pardo Bazán,1891,,año de muerte sin verificar
663,La Prueba,Emilia Pardo Bazán,1890,,año de muerte sin verificar
654,El Saludo de las Brujas,Emilia Pardo Bazán,1898,,año de muerte sin verificar
666,La Sirena Negra,Emilia Pardo Bazán,1908,,año de muerte sin verificar
668,El Tesoro de Gastón,Emilia Pardo Bazán,1897,,año de muerte sin verificar
677,La Última Fada,Emilia Pardo Bazán,1916,,año de muerte sin verificar
682,La Venganza de las Flores,Emilia Pardo Bazán,s. f.,,año de muerte sin verificar
669,Un Viaje de Novios,Emilia Pardo Bazán,1881,,año de muerte sin verificar
684,Camila,Estanislao del Campo,s. f.,,falta año de muerte del autor
683,Fausto,Estanislao del Campo,1866,,falta año de muerte del autor
685,Juan Moreira,Eduardo Gutiérrez,1879,,falta año de muerte del autor
687,La Bolsa de Huesos,Eduardo Ladislao Holmberg,1896,,falta año de muerte del autor
688,Horacio Kalibang,Eduardo Ladislao Holmberg,1879,,falta año de muerte del autor
686,Viaje Maravilloso del Señor Nic-Nac,Eduardo Ladislao Holmberg,1875,,falta año de muerte del autor
690,El Capitán Pérez,Carlos Octavio Bunge,s. f.,,falta año de muerte del autor
691,La Madrina de Lita,Carlos Octavio Bunge,s. f.,,falta año de muerte del autor
689,Thespis,Carlos Octavio Bunge,s. f.,,falta año de muerte del autor
692,El Último Grande de España,Carlos Octavio Bunge,s. f.,,falta año de muerte del autor
693,Hacia una Moral Sin Dogmas,José Ingenieros,1917,,falta año de muerte del autor
695,Amalia,José Mármol,1851,,falta año de muerte del autor
696,¿Inocentes o Culpables?,Juan Antonio Argerich,1884,,falta año de muerte del autor
697,Adriana Zumarán,Carlos Alberto Leumann,s. f.,,falta año de muerte del autor
699,Brenda,Eduardo Acevedo Díaz,s. f.,,falta año de muerte del autor
703,El Combate de la Tapera,Eduardo Acevedo Díaz,1892,,falta año de muerte del autor
702,Desde el Tronco de un Ombú,Eduardo Acevedo Díaz,1902,,falta año de muerte del autor
705,Cuentos y prosas dispersos,Eduardo Acevedo Díaz,s. f.,,falta año de muerte del autor
700,Grito de Gloria,Eduardo Acevedo Díaz,1893,,falta año de muerte del autor
704,Idilios Precoces,Eduardo Acevedo Díaz,s. f.,,falta año de muerte del autor
698,Ismael,Eduardo Acevedo Díaz,s. f.,,falta año de muerte del autor
701,Nativa,Eduardo Acevedo Díaz,s. f.,,falta año de muerte del autor
769,La Semana de los 3 Jueves,Francisco Campos Coello,s. f.,,falta año de muerte del autor
770,Cuentos y prosas dispersos,Francisco Campos Coello,s. f.,,falta año de muerte del autor
707,Doñarramona,José Pedro Bellán,1918,MX(hasta 2030),año de muerte sin verificar
706,Doñarramona y Otros Relatos,José Pedro Bellán,s. f.,MX(hasta 2030),año de muerte sin verificar
708,Huerco,José Pedro Bellán,1914,MX(hasta 2030),año de muerte sin verificar
709,El Pecado de Alejandra Leonard,José Pedro Bellán,s. f.,MX(hasta 2030),año de muerte sin verificar
711,La Bola,Emilio Rabasa,1887,,falta año de muerte del autor
712,Cuentos y prosas dispersos,Laura Méndez de Cuenca,s. f.,,falta año de muerte del autor
715,Buondelmonti,José María Roa Bárcena,s. f.,,falta año de muerte del autor
714,Noche al Raso,José María Roa Bárcena,s. f.,,falta año de muerte del autor
713,El Rey y el Bufón,José María Roa Bárcena,s. f.,,falta año de muerte del autor
717,Artículos Ligeros sobre Asuntos Trascendentales I,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
718,Artículos Ligeros sobre Asuntos Trascendentales II,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
730,Baile y Cochino...,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
724,El Comerciante en Perlas,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
722,Ensalada de Pollos,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
727,Estampas del Siglo XIX,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
726,Los Fuereños,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
719,Gabriel el Cerrajero o las Hijas de mi Papá,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
716,Las Gentes que Son Así,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
723,La Historia de Chucho el Ninfo,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
721,Isolina la Ex-Figurante,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
720,Las Jamonas,José Tomás de Cuéllar,1891,,falta año de muerte del autor
728,Los Mariditos,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
729,La Noche Buena,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
731,Las Posadas,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
725,Vistazos,José Tomás de Cuéllar,s. f.,,falta año de muerte del autor
732,El Cerro de las Campanas,Juan Antonio Mateos,s. f.,,falta año de muerte del autor
733,Los Insurgentes,Juan Antonio Mateos,s. f.,,falta año de muerte del autor
734,La Majestad Caída,Juan Antonio Mateos,s. f.,,falta año de muerte del autor
736,La Clase Media,Juan Díaz Covarrubias,s. f.,,falta año de muerte del autor
737,El Diablo en México,Juan Díaz Covarrubias,s. f.,,falta año de muerte del autor
735,Gil Gómez el Insurgente,Juan Díaz Covarrubias,s. f.,,falta año de muerte del autor
738,"Manuel Lozada, el Tigre de Alica",Ireneo Paz,s. f.,,falta año de muerte del autor
739,Los Favores del Mundo,Juan Ruiz de Alarcón,s. f.,,falta año de muerte del autor
747,El Beso de Evans,Abraham Valdelomar,s. f.,,año de muerte sin verificar
757,El Buque Negro,Abraham Valdelomar,1917,,año de muerte sin verificar
743,El Caballero Carmelo y Otros Cuentos,Abraham Valdelomar,s. f.,,año de muerte sin verificar
752,El Caballero Carmelo,Abraham Valdelomar,1918,,año de muerte sin verificar
758,El Círculo de la Muerte,Abraham Valdelomar,s. f.,,año de muerte sin verificar
748,La Ciudad Muerta,Abraham Valdelomar,s. f.,,año de muerte sin verificar
744,La Ciudad de los Tísicos,Abraham Valdelomar,s. f.,,año de muerte sin verificar
741,Cuentos Completos,Abraham Valdelomar,s. f.,,año de muerte sin verificar
754,"Hebaristo, el Sauce que Murió de Amor",Abraham Valdelomar,1917,,año de muerte sin verificar
746,Los Hijos del Sol,Abraham Valdelomar,1915,,año de muerte sin verificar
753,El Hipocampo de Oro,Abraham Valdelomar,1920,,año de muerte sin verificar
759,Historia de una Vida Documentada y Trunca,Abraham Valdelomar,s. f.,,año de muerte sin verificar
745,La Mariscala,Abraham Valdelomar,s. f.,,año de muerte sin verificar
755,Los Ojos de Judas,Abraham Valdelomar,s. f.,,año de muerte sin verificar
756,La Paraca,Abraham Valdelomar,s. f.,,año de muerte sin verificar
742,Poesía Completa,Abraham Valdelomar,s. f.,,año de muerte sin verificar
749,"Tres Senas, Dos Ases",Abraham Valdelomar,s. f.,,año de muerte sin verificar
751,El Vuelo de los Cóndores,Abraham Valdelomar,1914,,año de muerte sin verificar
750,Yerba Santa,Abraham Valdelomar,s. f.,,año de muerte sin verificar
762,Cuento de Marionetes,Clemente Palma,s. f.,,falta año de muerte del autor
760,Cuentos Malévolos,Clemente Palma,1904,,falta año de muerte del autor
761,La Granja Blanca,Clemente Palma,s. f.,,falta año de muerte del autor
763,Leyenda de Hachisch,Clemente Palma,s. f.,,falta año de muerte del autor
771,Repisas,José de la Cuadra,s. f.,,falta año de muerte del autor
764,Comentarios Reales de los Incas,Inca Garcilaso de la Vega,s. f.,,falta año de muerte del autor
765,La Florida del Inca,Inca Garcilaso de la Vega,s. f.,,falta año de muerte del autor
766,Contra la Marea,Alberto del Solar,s. f.,,falta año de muerte del autor
767,Cuentos Grises,Carlos Gagini,s. f.,,falta año de muerte del autor
772,Barraquera,José de la Cuadra,s. f.,,falta año de muerte del autor
768,Cuentos y prosas dispersos,Arturo Ambrogi,s. f.,,falta año de muerte del autor
774,El Montuvio Ecuatoriano,José de la Cuadra,s. f.,,falta año de muerte del autor
775,La Linterna Mágica,Manuel A. Alonso,s. f.,,falta año de muerte del autor
778,Aguafuertes Porteñas,Roberto Arlt,1933,MX(hasta 2042),año de muerte sin verificar
779,Los Siete Locos,Roberto Arlt,1929,MX(hasta 2042),año de muerte sin verificar
773,El Derecho al Amor,José de la Cuadra,s. f.,,falta año de muerte del autor
777,Nuevas Aguafuertes,Roberto Arlt,s. f.,MX(hasta 2042),año de muerte sin verificar
780,Trescientos Millones,Roberto Arlt,1932,MX(hasta 2042),año de muerte sin verificar
781,Los Lanzallamas,Roberto Arlt,1931,MX(hasta 2042),año de muerte sin verificar
782,Saverio el Cruel,Roberto Arlt,s. f.,MX(hasta 2042),año de muerte sin verificar
783,El Amor Brujo,Roberto Arlt,1932,MX(hasta 2042),año de muerte sin verificar
786,Las Ciencias Ocultas en la Ciudad de Buenos Aires,Roberto Arlt,s. f.,MX(hasta 2042),año de muerte sin verificar
787,El Fabricante de Fantasmas,Roberto Arlt,s. f.,MX(hasta 2042),año de muerte sin verificar
784,Aguafuertes Gallegas,Roberto Arlt,s. f.,MX(hasta 2042),año de muerte sin verificar
785,Viaje Terrible,Roberto Arlt,s. f.,MX(hasta 2042),año de muerte sin verificar
788,Aguafuertes Vascas,Roberto Arlt,s. f.,MX(hasta 2042),año de muerte sin verificar
790,El Juguete Rabioso,Roberto Arlt,1926,MX(hasta 2042),año de muerte sin verificar
789,Prueba de Amor,Roberto Arlt,s. f.,MX(hasta 2042),año de muerte sin verificar
791,Cuentos de Fray Mocho,José Seferino Álvarez «Fray Mocho»,s. f.,,año de muerte sin verificar
793,Esmeraldas,José Seferino Álvarez «Fray Mocho»,1921,,año de muerte sin verificar
792,Memorias de un Vigilante,José Seferino Álvarez «Fray Mocho»,s. f.,,año de muerte sin verificar
794,Lucía Miranda,Rosa Guerra,1860,,falta año de muerte del autor
795,Viaje a la Isla de Mallorca en el Estío de 1845,Juan Cortada,s. f.,,falta año de muerte del autor
796,Vida Loca,Domingo Arena,s. f.,,falta año de muerte del autor
798,Cuentos para los Hombres que son Todavía Niños,Teresa Wilms Montt,s. f.,,año de muerte sin verificar
797,Inquietudes Sentimentales,Teresa Wilms Montt,1917,,año de muerte sin verificar
799,Calvario y Tabor,Vicente Riva Palacio,1868,,falta año de muerte del autor
807,Los Ceros,Vicente Riva Palacio,s. f.,,falta año de muerte del autor
806,Los Cuentos del General,Vicente Riva Palacio,1896,,falta año de muerte del autor
800,Las Dos Emparedadas,Vicente Riva Palacio,s. f.,,falta año de muerte del autor
803,Martín Garatuza,Vicente Riva Palacio,1868,,falta año de muerte del autor
804,Memorias de un Impostor,Vicente Riva Palacio,s. f.,,falta año de muerte del autor
801,"Monja y Casada, Virgen y Mártir",Vicente Riva Palacio,1868,,falta año de muerte del autor
802,Los Piratas del Golfo,Vicente Riva Palacio,1869,,falta año de muerte del autor
805,La Vuelta de los Muertos,Vicente Riva Palacio,1870,,falta año de muerte del autor
814,Adolfo,Rafael Delgado,s. f.,,falta año de muerte del autor
810,Angelina,Rafael Delgado,1893,,falta año de muerte del autor
815,El Asesinato de Palma-Sola,Rafael Delgado,s. f.,,falta año de muerte del autor
811,La Calandria,Rafael Delgado,1890,,falta año de muerte del autor
816,La Chachalaca,Rafael Delgado,s. f.,,falta año de muerte del autor
809,Cuentos y Notas,Rafael Delgado,s. f.,,falta año de muerte del autor
812,El Desertor,Rafael Delgado,s. f.,,falta año de muerte del autor
813,La Misa de Madrugada,Rafael Delgado,s. f.,,falta año de muerte del autor
817,Mi Única Mentira,Rafael Delgado,s. f.,,falta año de muerte del autor
808,Los Parientes Ricos,Rafael Delgado,1903,,falta año de muerte del autor
818,¡¡¡To... rooo!!!,Rafael Delgado,s. f.,,falta año de muerte del autor
819,Cuadro,Xavier Villaurrutia,s. f.,,falta año de muerte del autor
820,Historia de la Compañía de Jesús en Nueva España,Francisco Javier Alegre,s. f.,,falta año de muerte del autor
822,Comedia inmortal,Pablo Palacio,s. f.,MX(hasta 2047),año de muerte sin verificar
823,Débora,Pablo Palacio,1927,MX(hasta 2047),año de muerte sin verificar
827,Cuentos y prosas dispersos,Pablo Palacio,s. f.,MX(hasta 2047),año de muerte sin verificar
826,Gente de Provincias,Pablo Palacio,s. f.,MX(hasta 2047),año de muerte sin verificar
824,Un Hombre Muerto a Puntapiés (cuentos),Pablo Palacio,1927,MX(hasta 2047),año de muerte sin verificar
825,Rosita Elguero,Pablo Palacio,s. f.,MX(hasta 2047),año de muerte sin verificar
821,Vida del Ahorcado,Pablo Palacio,1932,MX(hasta 2047),año de muerte sin verificar
828,Cuentos de Poeta,Rufino Blanco Fombona,s. f.,,falta año de muerte del autor
830,Gotas de Sangre: Crímenes y Criminales,Luis Bonafoux Quintero,s. f.,,falta año de muerte del autor
829,Huellas Literarias,Luis Bonafoux Quintero,s. f.,,falta año de muerte del autor
835,De la lucha,José Alonso y Trelles,s. f.,,falta año de muerte del autor
836,Amor de Niño,Luis Benjamín Cisneros,s. f.,,falta año de muerte del autor
834,Primitivo,Carlos Reyles,s. f.,,falta año de muerte del autor
832,La Caravana Pasa,Rubén Darío,1902,,falta año de muerte del autor
833,Tierras Solares,Rubén Darío,1904,,falta año de muerte del autor
838,Azul Pálido,Manuel Díaz Rodríguez,s. f.,,falta año de muerte del autor
839,Las Ovejas y las Rosas del Padre Serafín,Manuel Díaz Rodríguez,s. f.,,falta año de muerte del autor
848,Capirotazos,Emilio Bobadilla,s. f.,,falta año de muerte del autor
849,A Fuego Lento,Emilio Bobadilla,s. f.,,falta año de muerte del autor
852,La Fuga,Emilio Bobadilla,s. f.,,falta año de muerte del autor
