id,titulo,autor,anio,anio_muerte,tipo,accion,ES,ES_libre_en,DE,DE_libre_en,MX,MX_libre_en,CL,CL_libre_en,AR,AR_libre_en,UY,UY_libre_en,US,US_libre_en,PR,PR_libre_en,CO,CO_libre_en,PE,PE_libre_en,EC,EC_libre_en,VE,VE_libre_en,NI,NI_libre_en,PY,PY_libre_en,CR,CR_libre_en,GB,GB_libre_en,CU,CU_libre_en,BO,BO_libre_en,SV,SV_libre_en,FR,FR_libre_en
202,Martín Rivas,Alberto Blest Gana,1862,1920,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
203,Sub terra,Baldomero Lillo,1917,1923,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
207,Himno Nacional de Chile (letra),"Eusebio Lillo Robles (versos), Bernardo de Vera y Pintado (coro)",1847,,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
208,Recuerdos del pasado,Vicente Pérez Rosales,1886,,Dominio público,REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
209,Ifigenia,Teresa de la Parra,1924,1936,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2037,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
210,Cumandá,Juan León Mera,1879,,Dominio público,REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
211,Siete tratados,Juan Montalvo,1882,1889,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
212,English First,Ministerio de Educación de Chile (MINEDUC),2023,,Descarga liberada para la ciudadanía,REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
213,Juego Primero,Ministerio de Educación de Chile (MINEDUC),2023,,Descarga liberada para la ciudadanía,REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
214,Narraciones Extraordinarias,Edgar Allan Poe,1908,,Biblioteca de descarga liberada (MINEDUC),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
215,Malena,Antonella Reveco Spalloni,2020,,Biblioteca de descarga liberada (MINEDUC),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
216,Historia de la aviación en Chile,Enrique Flores Álvarez,1930,,Biblioteca de descarga liberada (MINEDUC),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
217,Ensayo de una bibliografía dramática chilena,Nicolás Anrique R.,1899,,Biblioteca de descarga liberada (MINEDUC),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
218,Mis memorias,"Carmen Smith de Espinosa (Smith Canales, Carmen)",1936,,Dominio público (Patrimonio Cultural Común),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
219,Clases de astronomía: profesadas en la Universidad de Santiago de Chile,Friedrich Wilhelm Ristenpart,1912,,Dominio público (Patrimonio Cultural Común),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
220,Peces nuevos de Chile,Rodolfo Amando Philippi,1896,,Dominio público (Patrimonio Cultural Común),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
221,Viage al Desierto de Atacama: hecho de orden del gobierno de Chile en el verano 1853-54,Rodolfo Amando Philippi,1860,,Dominio público (Patrimonio Cultural Común),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
222,El origen de las especies por medio de la selección natural,Charles Darwin,1921,1882,Dominio público (Patrimonio Cultural Común),PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
223,Jeolojía de la América Meridional,Charles Darwin,1906,1882,Dominio público (Patrimonio Cultural Común),PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
224,Viaje de un naturalista alrededor del mundo,Charles Darwin,1945,1882,Dominio público (Patrimonio Cultural Común),"GEOBLOQUEAR:PR,US",LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,REVISAR,,REVISAR,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
225,Revista Colombiana de Química,"Universidad Nacional de Colombia, Facultad de Ciencias",1971,,Acceso abierto (CC BY 3.0),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
226,Poesía completa (selección en Wikisource),Sor Juana Inés de la Cruz,1689,,Dominio público,PUBLICAR,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
227,Los heraldos negros,César Vallejo,1918,1938,Dominio público,GEOBLOQUEAR:MX,LIBRE,,LIBRE,,PROTEGIDO,2039,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,,LIBRE,
