autor,anio_muerte,nacionalidad,verificado,fuente_fecha
José Mármol,1871,AR,si,confirmado por Rocío
José Pedro Bellán,1930,UY,no,"precargado, sin verificar"
José Seferino Álvarez «Fray Mocho»,1903,AR,no,"precargado, sin verificar"
José Tomás de Cuéllar,1894,MX,si,confirmado por Rocío
José Victorino Lastarria,1888,CL,si,confirmado por Rocío
José de la Cuadra,1941,EC,si,confirmado por Rocío
Juan Antonio Argerich,1940,AR,si,confirmado por Rocío (criterio conservador)
Juan Antonio Mateos,1913,MX,si,confirmado por Rocío (criterio conservador)
Juan Bautista Alberdi,,,,
Juan Cortada,1868,ES,si,confirmado por Rocío
Juan Díaz Covarrubias,1859,MX,si,confirmado por Rocío
Juan León Mera,,,,
Juan Montalvo,1889,EC,si,confirmado por Rocío
Juan Ruiz de Alarcón,1639,ES,si,confirmado por Rocío
Juan Valera,1905,ES,si,confirmado por Rocío
Juan de Betanzos,,,,
Juana Manuela Gorriti,1892,AR,si,confirmado por Rocío
LA Referencia,,,,
Laura Méndez de Cuenca,1928,MX,si,confirmado por Rocío
"Leopoldo Alas ""Clarín""",1901,ES,si,confirmado por Rocío
Leopoldo Lugones,1938,AR,no,"precargado, sin verificar"
Lucio V. Mansilla,1913,FR,si,confirmado por Rocío (criterio conservador)
Lucio Vicente López,1894,AR,si,confirmado por Rocío
Luis Benjamín Cisneros,1904,PE,si,confirmado por Rocío
Luis Bonafoux Quintero,1918,ES,si,confirmado por Rocío (criterio conservador)
Luis G. Urbina,1934,MX,no,"precargado, sin verificar"
Manuel A. Alonso,1889,PR,si,confirmado por Rocío
Manuel Díaz Rodríguez,1927,VE,si,confirmado por Rocío
Manuel Eduardo de Gorostiza,,,,
Manuel Fernández Juncos,1928,PR,si,confirmado por Rocío
Manuel González Zeledón,1936,CR,si,confirmado por Rocío
Manuel Gutiérrez Nájera,1895,MX,si,confirmado por Rocío
Manuel Manquilef,1950,CL,si,confirmado por Rocío
Manuel Payno,1894,MX,si,confirmado por Rocío
Martín García Mérou,1905,AR,si,confirmado por Rocío
Martín del Barco Centenera,,,,
María de Zayas y Sotomayor,,,,
Miguel Cané,1905,AR,si,confirmado por Rocío
Miguel de Cervantes,1616,ES,no,"precargado, sin verificar"
Miguel de Cervantes Saavedra,,,,
Miguel de Unamuno,1936,ES,no,"precargado, sin verificar"
"Ministerio de Ciencia, Tecnología e Innovación",,,,
